Name,District_x,Population,Latitude,Longitude,Status,District_y,PopulationCensus1980-01-01,PopulationCensus1990-01-01,PopulationCensus2001-02-01,PopulationCensus2011-10-01,PopulationEstimate2019-01-01
Ágasegyháza,"Hungary, Bács-Kiskun","populated placepopulation 1,898",N 46° 50' 24'',E 19° 27' 7'',Village,Kecskemét,"2,110","1,956","1,916","1,893","1,889"
Akasztó,"Hungary, Bács-Kiskun","populated placepopulation 3,480",N 46° 41' 30'',E 19° 12' 15'',Village,Kiskőrös,"3,983","3,664","3,519","3,354","3,221"
Apostag,"Hungary, Bács-Kiskun","populated placepopulation 2,099",N 46° 52' 55'',E 18° 57' 43'',Village,Kunszentmiklós,"2,281","2,149","2,107","2,056","1,995"
Bácsalmás,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 7,608",N 46° 7' 35'',E 19° 19' 57'',Town,Bácsalmás,"8,562","7,856","7,650","6,753","6,379"
Bácsbokod,"Hungary, Bács-Kiskun","populated placepopulation 3,077",N 46° 7' 30'',E 19° 9' 22'',Large Village,Bácsalmás,"3,456","3,175","3,045","2,676","2,429"
Bácsborsód,"Hungary, Bács-Kiskun",populated place,N 46° 5' 55'',E 19° 9' 29'',Village,Bácsalmás,"1,486","1,355","1,277","1,183","1,073"
Bácsszentgyörgy,"Hungary, Bács-Kiskun",populated placepopulation 259,N 45° 58' 21'',E 19° 2' 10'',Village,Baja,341,259,195,156,144
Bácsszőlős,"Hungary, Bács-Kiskun",populated place,N 46° 9' 0'',E 19° 27' 0'',Village,Bácsalmás,916,519,441,346,346
Baja,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 37,714",N 46° 10' 58'',E 18° 57' 11'',Town,Baja,"38,523","38,686","37,916","36,267","34,495"
Ballószög,"Hungary, Bács-Kiskun","populated placepopulation 2,753",N 46° 51' 43'',E 19° 34' 15'',Village,Kecskemét,"1,810","1,950","2,672","3,260","3,652"
Balotaszállás,"Hungary, Bács-Kiskun",populated place,N 46° 21' 3'',E 19° 32' 25'',Village,Kiskunhalas,"1,988","1,764","1,654","1,473","1,489"
Bátmonostor,"Hungary, Bács-Kiskun",populated place,N 46° 6' 7'',E 18° 55' 42'',Village,Baja,"1,892","1,765","1,735","1,554","1,475"
Bátya,"Hungary, Bács-Kiskun","populated placepopulation 2,190",N 46° 29' 16'',E 18° 57' 15'',Village,Kalocsa,"2,562","2,409","2,272","2,094","1,985"
Bócsa,"Hungary, Bács-Kiskun",populated place,N 46° 36' 34'',E 19° 29' 3'',Village,Kiskőrös,"2,122","1,934","1,854","1,747","1,892"
Borota,"Hungary, Bács-Kiskun",populated place,N 46° 15' 57'',E 19° 13' 22'',Village,Jánoshalma,"2,195","1,777","1,591","1,396","1,271"
Bugac,"Hungary, Bács-Kiskun",region,N 46° 40' 0'',E 19° 40' 0'',Large Village,Kiskunfélegyháza,"3,763","3,228","3,118","2,708","2,565"
Bugacpusztaháza,"Hungary, Bács-Kiskun",populated placepopulation 322,N 46° 41' 56'',E 19° 37' 53'',Village,Kiskunfélegyháza,494,360,355,260,250
Császártöltés,"Hungary, Bács-Kiskun","populated placepopulation 2,649",N 46° 25' 19'',E 19° 11' 1'',Village,Kiskőrös,"3,424","3,061","2,700","2,371","2,172"
Csátalja,"Hungary, Bács-Kiskun",populated place,N 46° 2' 12'',E 18° 56' 48'',Village,Baja,"2,003","1,841","1,691","1,431","1,399"
Csávoly,"Hungary, Bács-Kiskun","populated placepopulation 2,080",N 46° 11' 21'',E 19° 8' 48'',Village,Baja,"2,370","2,081","2,074","1,854","1,671"
Csengőd,"Hungary, Bács-Kiskun","populated placepopulation 2,291",N 46° 42' 55'',E 19° 16' 4'',Village,Kiskőrös,"2,709","2,449","2,310","2,052","1,942"
Csikéria,"Hungary, Bács-Kiskun",populated place,N 46° 7' 42'',E 19° 28' 16'',Village,Bácsalmás,"1,255","1,031",975,866,758
Csólyospálos,"Hungary, Bács-Kiskun",populated place,N 46° 25' 6'',E 19° 50' 22'',Village,Kiskunmajsa,"2,132","1,832","1,907","1,681","1,536"
Dávod,"Hungary, Bács-Kiskun","populated placepopulation 2,240",N 45° 59' 42'',E 18° 55' 2'',Village,Baja,"2,934","2,612","2,244","1,963","1,876"
Drágszél,"Hungary, Bács-Kiskun",populated place,N 46° 28' 3'',E 19° 2' 23'',Village,Kalocsa,449,374,386,311,285
Dunaegyháza,"Hungary, Bács-Kiskun",populated place,N 46° 50' 17'',E 18° 57' 15'',Village,Kunszentmiklós,"1,629","1,329","1,483","1,461","1,410"
Dunafalva,"Hungary, Baranya",populated place,N 46° 4' 29'',E 18° 46' 53'',Village,Baja,"1,461","1,242","1,044",886,903
Dunapataj,"Hungary, Bács-Kiskun","populated placepopulation 3,693",N 46° 38' 38'',E 18° 59' 46'',Large Village,Kalocsa,"4,255","3,814","3,588","3,172","3,024"
Dunaszentbenedek,"Hungary, Bács-Kiskun",populated place,N 46° 35' 35'',E 18° 53' 40'',Village,Kalocsa,"1,243","1,040",951,866,767
Dunatetétlen,"Hungary, Bács-Kiskun",populated place,N 46° 45' 26'',E 19° 5' 43'',Village,Kalocsa,700,674,632,532,491
Dunavecse,"Hungary, Bács-Kiskun","populated placepopulation 4,201",N 46° 54' 53'',E 18° 58' 16'',Town,Kunszentmiklós,"4,247","3,867","4,187","3,881","3,806"
Dusnok,"Hungary, Bács-Kiskun","populated placepopulation 3,284",N 46° 23' 27'',E 18° 57' 46'',Village,Kalocsa,"3,668","3,514","3,304","2,934","2,774"
Érsekcsanád,"Hungary, Bács-Kiskun","populated placepopulation 2,863",N 46° 15' 12'',E 18° 59' 4'',Village,Baja,"2,347","2,679","2,821","2,796","2,753"
Érsekhalma,"Hungary, Bács-Kiskun",populated place,N 46° 20' 55'',E 19° 7' 17'',Village,Baja,788,746,700,639,550
Fajsz,"Hungary, Bács-Kiskun",populated place,N 46° 25' 1'',E 18° 55' 9'',Village,Kalocsa,"2,362","2,077","1,903","1,709","1,600"
Felsőlajos,"Hungary, Bács-Kiskun",populated place,N 47° 4' 1'',E 19° 29' 49'',Village,Kecskemét,788,810,935,888,885
Felsőszentiván,"Hungary, Bács-Kiskun","populated placepopulation 1,998",N 46° 11' 49'',E 19° 11' 12'',Village,Baja,"2,345","2,088","2,012","1,850","1,728"
Foktő,"Hungary, Bács-Kiskun",populated place,N 46° 31' 39'',E 18° 55' 9'',Village,Kalocsa,"2,110","1,845","1,713","1,586","1,552"
Fülöpháza,"Hungary, Bács-Kiskun",populated place,N 46° 53' 0'',E 19° 25' 0'',Village,Kecskemét,"1,155",927,926,834,820
Fülöpjakab,"Hungary, Bács-Kiskun","populated placepopulation 1,162",N 46° 44' 32'',E 19° 43' 16'',Village,Kecskemét,"1,334","1,087","1,142","1,147","1,128"
Fülöpszállás,"Hungary, Bács-Kiskun","populated placepopulation 2,503",N 46° 49' 14'',E 19° 14' 14'',Village,Kiskőrös,"3,146","2,647","2,455","2,172","2,047"
Gara,"Hungary, Heves",peakelevation 1014m,N 47° 52' 18'',E 20° 0' 25'',Village,Baja,"3,219","2,893","2,683","2,334","2,265"
Gátér,"Hungary, Pest",populated place,N 47° 2' 0'',E 19° 47' 0'',Village,Kiskunfélegyháza,"1,251","1,137","1,062",968,880
Géderlak,"Hungary, Bács-Kiskun",populated place,N 46° 36' 24'',E 18° 54' 52'',Village,Kalocsa,"1,308","1,181","1,083","1,015",974
Hajós,"Hungary, Bács-Kiskun","populated placepopulation 3,520",N 46° 23' 55'',E 19° 7' 14'',Town,Kalocsa,"4,117","3,785","3,544","3,104","2,811"
Harkakötöny,"Hungary, Bács-Kiskun",populated place,N 46° 27' 47'',E 19° 36' 27'',Village,Kiskunhalas,"1,008","1,001","1,018",887,833
Harta,"Hungary, Bács-Kiskun","populated placepopulation 3,716",N 46° 41' 51'',E 19° 1' 51'',Large Village,Kalocsa,"4,315","4,030","4,542","3,936","3,233"
Helvécia,"Hungary, Bács-Kiskun","populated placepopulation 3,918",N 46° 50' 11'',E 19° 37' 21'',Large Village,Kecskemét,"3,166","3,055","3,886","4,451","4,657"
Hercegszántó,"Hungary, Bács-Kiskun","populated placepopulation 2,308",N 45° 57' 0'',E 18° 56' 21'',Village,Baja,"2,933","2,493","2,329","2,092","1,957"
Homokmégy,"Hungary, Bács-Kiskun",populated place,N 46° 29' 24'',E 19° 4' 23'',Village,Kalocsa,"2,056","1,725","1,566","1,366","1,246"
Imrehegy,"Hungary, Bács-Kiskun",populated place,N 46° 28' 38'',E 19° 18' 44'',Village,Kiskőrös,"1,024",834,860,715,672
Izsák,"Hungary, Bács-Kiskun","populated placepopulation 6,117",N 46° 48' 16'',E 19° 21' 6'',Town,Kiskőrös,"7,136","6,603","6,097","5,650","5,515"
Jakabszállás,"Hungary, Bács-Kiskun",populated place,N 46° 45' 37'',E 19° 36' 26'',Village,Kecskemét,"2,793","2,621","2,619","2,591","2,615"
Jánoshalma,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 9,755",N 46° 17' 55'',E 19° 19' 33'',Town,Jánoshalma,"11,754","10,244","9,951","9,008","8,280"
Jászszentlászló,"Hungary, Bács-Kiskun","populated placepopulation 2,602",N 46° 34' 0'',E 19° 45' 38'',Village,Kiskunmajsa,"2,844","2,757","2,623","2,448","2,451"
Kalocsa,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 18,242",N 46° 31' 47'',E 18° 58' 22'',Town,Kalocsa,"18,668","18,350","18,789","17,142","15,280"
Kaskantyú,"Hungary, Bács-Kiskun",populated place,N 46° 40' 19'',E 19° 23' 12'',Village,Kiskőrös,"1,291","1,040","1,080",997,971
Katymár,"Hungary, Bács-Kiskun","populated placepopulation 2,374",N 46° 2' 2'',E 19° 12' 33'',Village,Bácsalmás,"2,852","2,516","2,359","2,053","1,629"
Kecel,"Hungary, Bács-Kiskun","populated placepopulation 9,155",N 46° 31' 31'',E 19° 15' 7'',Town,Kiskőrös,"9,535","9,080","9,162","8,711","8,376"
Kecskemét,"Hungary, Bács-Kiskun","seat of a first-order administrative divisionpopulation 109,847",N 46° 54' 22'',E 19° 41' 28'',Town with County Rights,Kecskemét,"96,882","102,516","107,749","111,411","110,687"
Kelebia,"Hungary, Bács-Kiskun","populated placepopulation 2,985",N 46° 11' 48'',E 19° 36' 59'',Village,Kiskunhalas,"3,160","2,855","2,999","2,583","2,415"
Kéleshalom,"Hungary, Bács-Kiskun",populated place,N 46° 21' 55'',E 19° 16' 54'',Village,Jánoshalma,878,642,557,417,445
Kerekegyháza,"Hungary, Bács-Kiskun","populated placepopulation 5,983",N 46° 56' 14'',E 19° 28' 41'',Town,Kecskemét,"6,010","5,861","5,995","6,284","6,563"
Kiskőrös,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 15,091",N 46° 37' 17'',E 19° 17' 7'',Town,Kiskőrös,"15,616","14,911","15,352","14,236","13,746"
Kiskunfélegyháza,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 31,720",N 46° 42' 43'',E 19° 50' 40'',Town,Kiskunfélegyháza,"35,414","34,220","32,632","30,172","29,306"
Kiskunhalas,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 29,354",N 46° 26' 2'',E 19° 29' 5'',Town,Kiskunhalas,"30,604","29,872","29,954","28,285","27,017"
Kiskunmajsa,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 11,955",N 46° 29' 25'',E 19° 44' 24'',Town,Kiskunmajsa,"13,419","12,030","12,042","11,229","10,843"
